year,month,cpi_u_rs_extended
1947,1,36.282759464368056
1947,2,36.51923927465724
1947,3,37.16111304544215
1947,4,37.16111304544215
1947,5,37.07665597033887
1947,6,37.296244365607386
1947,7,37.54961559091722
1947,8,37.836769646268365
1947,9,38.57999190717721
1947,10,38.6982318123218
1947,11,38.951603037631635
1947,12,39.54280256335457
1948,1,39.99887076891227
1948,2,39.98197935389162
1948,3,39.694825298540465
1948,4,40.235350579201445
1948,5,40.5562874645939
1948,6,40.79276727488308
1948,7,41.215052650399464
1948,8,41.265726895461434
1948,9,41.14748699031684
1948,10,41.06302991521357
1948,11,40.809658689903735
1948,12,40.62385312467652
1949,1,40.5562874645939
1949,2,40.38737331438735
1949,3,40.38737331438735
1949,4,40.404264729408006
1949,5,40.38737331438735
1949,6,40.404264729408006
1949,7,40.03265359895358
1949,8,40.03265359895357
1949,9,40.11711067405686
1949,10,39.98197935389162
1949,11,40.03265359895357
1949,12,39.88063086376769
1950,1,39.711716713561124
1950,2,39.880630863767685
1950,3,39.93130510882965
1950,4,39.94819652385031
1950,5,40.150893504098164
1950,6,40.33669906932538
1950,7,40.65763595471783
1950,8,40.87722434998635
1950,9,41.11370416027553
1950,10,41.38396680060602
1950,11,41.55288095081258
1950,12,42.19475472159749
1951,1,42.870411322423706
1951,2,43.6305249983532
1951,3,43.71498207345648
1951,4,43.78254773353911
1951,5,43.900787638683695
1951,6,43.79943914855976
1951,7,43.76565631851845
1951,8,43.68119924341517
1951,9,43.968353298766324
1951,10,44.18794169403484
1951,11,44.45820433436533
1951,12,44.71157555967516
1952,1,44.67779272963385
1952,2,44.61022706955122
1952,3,44.57644423950991
1952,4,44.69468414465451
1952,5,44.71157555967516
1952,6,44.8129240497991
1952,7,45.06629527510893
1952,8,45.08318669012959
1952,9,44.981838200005654
1952,10,45.08318669012959
1952,11,45.08318669012959
1952,12,45.11696952017089
1953,1,44.9987296150263
1953,2,44.91427253992303
1953,3,44.981838200005654
1953,4,45.08318669012959
1953,5,45.10007810515024
1953,6,45.21831801029482
1953,7,45.252100840336134
1953,8,45.35344933046007
1953,9,45.421014990542695
1953,10,45.52236348066663
1953,11,45.35344933046007
1953,12,45.387232160501384
1954,1,45.50547206564597
1954,2,45.58992914074925
1954,3,45.48858065062532
1954,4,45.370340745480725
1954,5,45.48858065062532
1954,6,45.50547206564597
1954,7,45.370340745480725
1954,8,45.35344933046007
1954,9,45.285883670377444
1954,10,45.13386093519155
1954,11,45.23520942531548
1954,12,45.21831801029483
1955,1,45.21831801029483
1955,2,45.3027750853981
1955,3,45.25210084033614
1955,4,45.25210084033614
1955,5,45.21831801029483
1955,6,45.11696952017089
1955,7,45.20142659527417
1955,8,45.13386093519155
1955,9,45.35344933046007
1955,10,45.3027750853981
1955,11,45.404123575522036
1955,12,45.38723216050138
1956,1,45.319666500418755
1956,2,45.370340745480725
1956,3,45.421014990542695
1956,4,45.48858065062532
1956,5,45.65749480083187
1956,6,45.86019178107973
1956,7,46.0966715913689
1956,8,46.13045442141023
1956,9,46.19802008149284
1956,10,46.46828272182333
1956,11,46.46828272182333
1956,12,46.6709797020712
1957,1,46.73854536215383
1957,2,46.958133757422345
1957,3,47.05948224754627
1957,4,47.17772215269087
