year,month,c_cpi_u_extended
1947,1,36.3
1947,2,36.5
1947,3,37.2
1947,4,37.2
1947,5,37.1
1947,6,37.3
1947,7,37.6
1947,8,37.8
1947,9,38.6
1947,10,38.7
1947,11,38.9
1947,12,39.5
1948,1,40
1948,2,40
1948,3,39.7
1948,4,40.2
1948,5,40.6
1948,6,40.8
1948,7,41.2
1948,8,41.3
1948,9,41.2
1948,10,41
1948,11,40.8
1948,12,40.6
1949,1,40.5
1949,2,40.4
1949,3,40.4
1949,4,40.4
1949,5,40.4
1949,6,40.4
1949,7,40
1949,8,40
1949,9,40.1
1949,10,39.9
1949,11,40
1949,12,39.9
1950,1,39.7
1950,2,39.9
1950,3,40
1950,4,40
1950,5,40.1
1950,6,40.3
1950,7,40.6
1950,8,40.8
1950,9,41.1
1950,10,41.4
1950,11,41.5
1950,12,42.2
1951,1,42.9
1951,2,43.6
1951,3,43.7
1951,4,43.8
1951,5,43.9
1951,6,43.8
1951,7,43.7
1951,8,43.6
1951,9,44
1951,10,44.2
1951,11,44.5
1951,12,44.7
1952,1,44.7
1952,2,44.6
1952,3,44.6
1952,4,44.7
1952,5,44.7
1952,6,44.9
1952,7,45.1
1952,8,45.1
1952,9,45
1952,10,45.1
1952,11,45.1
1952,12,45.1
1953,1,45
1953,2,45
1953,3,45
1953,4,45.1
1953,5,45.1
1953,6,45.2
1953,7,45.3
1953,8,45.3
1953,9,45.4
1953,10,45.5
1953,11,45.3
1953,12,45.3
1954,1,45.5
1954,2,45.6
1954,3,45.5
1954,4,45.4
1954,5,45.5
1954,6,45.5
1954,7,45.3
1954,8,45.3
1954,9,45.3
1954,10,45.2
1954,11,45.3
1954,12,45.2
1955,1,45.2
1955,2,45.3
1955,3,45.3
1955,4,45.3
1955,5,45.2
1955,6,45.1
1955,7,45.2
1955,8,45.2
1955,9,45.3
1955,10,45.3
1955,11,45.4
1955,12,45.4
1956,1,45.4
1956,2,45.4
1956,3,45.5
1956,4,45.5
1956,5,45.7
1956,6,45.8
1956,7,46.1
1956,8,46.1
1956,9,46.2
